Volume,Doors,Style,Prediction,Confidence
0.010380622837370242,0.6666666666666666,Sedan,Sedan,0.6666666666666666
0.31141868512110726,0.6666666666666666,Sedan,Sedan,1.0
0.38408304498269896,0.9999999999999999,SUV,SUV,1.0
0.40484429065743943,0.6666666666666666,SUV,SUV,0.6666666666666666
0.5432525951557093,0.9999999999999999,SUV,SUV,0.6666666666666666
0.3494809688581315,0.6666666666666666,Sedan,Sedan,1.0
0.32179930795847755,0.6666666666666666,Sedan,SUV,1.0
0.3494809688581315,0.6666666666666666,Sedan,Sedan,1.0
0.2941176470588235,0.6666666666666666,SUV,Sedan,0.6666666666666666
0.32525951557093424,0.9999999999999999,SUV,SUV,1.0
0.342560553633218,0.9999999999999999,Sedan,SUV,1.0
0.5397923875432525,0.9999999999999999,SUV,SUV,0.6666666666666666
0.3771626297577855,0.6666666666666666,Pickup,Pickup,0.3333333333333333
0.4256055363321799,0.9999999999999999,SUV,SUV,0.6666666666666666
0.2249134948096886,0.9999999999999999,SUV,SUV,1.0
0.2110726643598616,0.6666666666666666,Jeep,Sedan,0.6666666666666666
0.5155709342560554,0.9999999999999999,Van,SUV,0.6666666666666666
0.5536332179930796,0.6666666666666666,SUV,SUV,1.0
0.2906574394463668,0.6666666666666666,Sedan,Sedan,0.6666666666666666
0.31487889273356406,0.6666666666666666,Sedan,Sedan,0.6666666666666666
0.32179930795847755,0.6666666666666666,Jeep,SUV,1.0
0.2906574394463668,0.6666666666666666,Sedan,Sedan,0.6666666666666666
0.2698961937716263,0.6666666666666666,SUV,Sedan,0.6666666666666666
0.32525951557093424,0.9999999999999999,SUV,SUV,1.0
0.31833910034602075,0.6666666666666666,Sedan,SUV,0.6666666666666666
0.342560553633218,0.6666666666666666,Sedan,Jeep,0.3333333333333333
0.32871972318339104,0.9999999999999999,SUV,SUV,1.0
0.5501730103806228,0.6666666666666666,Pickup,SUV,1.0
0.010380622837370242,0.6666666666666666,Sedan,Sedan,0.6666666666666666
0.08650519031141869,0.6666666666666666,SUV,SUV,1.0
0.40484429065743943,0.6666666666666666,SUV,SUV,0.6666666666666666
0.4186851211072664,0.6666666666666666,Pickup,Pickup,1.0
